Name,Borough,Area,Full_Address,Postcode,Opening_Times,Phone,Email,Website,Requirements,Cost,Services,Contact_Person,Notes,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Opening_Time,Closing_Time,Time_Notes,Service_FoodBank,Service_CommunityMeals,Service_Delivery,Service_Clothing,Service_Utilities,Service_Furniture,Access_Type,Latitude,Longitude,Has_Complete_Info,Last_Updated,Coordinate_Source,,
Langworthy Food Club,Salford,Langworthy,"451 Liverpool Street, Salford",M6 5QQ,Tuesdays from 10.00am,0161 213 1920,reception@langworthycornerstone.co.uk,https://www.facebook.com/langworthy.cornerstone/,Open to residents on benefits/low income (Langworthy/Weaste/Seedley area),£3.50 for a large bag of fresh foodstuffs,Food club,,Need to fill in application/membership form,N,Y,N,N,N,N,N,,,Tuesdays from 10.00am,N,N,N,N,N,N,Unknown,53.4838033,-2.2970699,Y,01/09/2025,original,,
Langworthy Cornerstone FoodCycle,Salford,Langworthy,451 Liverpool Street,M6 5QQ,Tuesday's and Thursday's 6pm,,cornerstonethursdays@foodcycle.org.uk,https://foodcycle.org.uk/location/foodcycle-salford/,Registration required,Free,Hot meals only,,Family Friendly,N,Y,N,Y,N,N,N,,,Tuesday's and Thursday's 6pm,N,Y,N,N,N,N,Unknown,53.4838033,-2.2970699,Y,01/09/2025,original,,
Salford Foodbank,Salford,Little Hulton,"Wharton & Clegg's Lane Church & Community Centre, Clegg's Lane, Little Hulton",M38 9RW,Tues 10.30am A  1pm,0161 637 2120,info@salford.foodbank.org.uk,https://salford.foodbank.org.uk/locations/,Foodbank Voucher,Free,Foodbank,,,N,Y,N,N,N,N,N,10:30,13:00,Tues 10.30am A  1pm,Y,N,N,N,N,N,Referral,53.5351218,-2.4193618,Y,01/09/2025,simplified_address,,
Mustard Tree,Salford,Little Hulton,"50 Little Hulton District Centre, Little Hulton",M28 0AU,Monday Tuesday Wednesday Friday 10am A  2pm,0161 228 7331,referrals@mustardtree.org.uk,http://www.mustardtree.org.uk/,ID and proof of benefits required for registration,£3 for items worth approx. £10 - £20,Food Club (once per week); Other services available,,,Y,Y,Y,N,Y,N,N,10:00,14:00,Monday Tuesday Wednesday Friday 10am A  2pm,N,N,N,N,N,N,Unknown,53.529702,-2.4235225,Y,01/09/2025,simplified_address,,
Community Little Hulton Pavilion,Salford,Little Hulton,"33 Manchester Road West, Little Hulton",M38 9EG,Open 9.15am to 2pm every Wednesday (or until food runs out),7561525619,communitylittlehulton@communitylittlehulton.co.uk,,A £2.50 for 12 items,£3 per visit,,,,N,N,Y,N,N,N,N,,,Open 9.15am to 2pm every Wednesday (or until food runs out),N,N,N,N,N,N,Unknown,53.5318869,-2.4264756,Y,01/09/2025,original,,
Salford Foodbank,Salford,Lower Broughton,"Broughton Hub, 50 Rigby St Higher Broughton",M7 4BQ,Mon - Friday 10 A  6pm,0161 637 2120,,https://salford.foodbank.org.uk/locations/,Voucher required from foodbank partner,Free,Foodbank,,,Y,Y,Y,Y,Y,N,N,10:00,18:00,Mon - Friday 10 A  6pm,Y,N,N,N,N,N,Referral,53.5052518,-2.2575147,Y,01/09/2025,original,,
BCC-Salford,Salford,Lower Broughton,"The Naz Community Hall, Great Clowes Street, Lower Broughton",M7 1ZQ,Tuesday 12pm-2:30pm; Wednesday 12pm-3pm; Thursday 10am-12pm,,,https://www.bcc-salford.org/,By payment,£3.50 for a large bag of fresh foodstuffs,Food pantry,,Times may differ during holidays,N,Y,Y,Y,N,N,N,12:00,14:30,Tuesday 12pm-2:30pm; Wednesday 12pm-3pm; Thursday 10am-12pm,N,N,N,N,N,N,Unknown,53.4840656,-2.2502545,Y,01/09/2025,simplified_address,,
Revive,Salford,Lower Kersal,"Spiritan Centre, Northallerton Road, Lower Kersal",M7 3TP,Wednesday 11am - 4pm last entry 2.30pm; Hot meal served 10am to 2pm,0161 223 5668 07500 662595,info@revive-uk.org,http://www.revive-uk.org/need-destitution-or-emergency-support/,For refugees and asylum seekers,Free,Food parcels for refugees and asylum seekers,,,N,N,Y,N,N,N,N,11:00,16:00,Wednesday 11am - 4pm last entry 2.30pm; Hot meal served 10am to 2pm,Y,N,N,N,N,N,Unknown,53.50438,-2.27785,Y,01/09/2025,postcode,,
The Barnabas Centre,Oldham,Clarksfield,"Arundel Street, Clarksfield",OL4 1NL,Mondays Fridays 10-4 and otherwise as arranged,07492 849158,,https://barnabas-thrive-oldham.co.uk/,Registration required,£3.50 suggested donation for each bag,Food co-operative with pantry model; One bag per week (more with dependents),MaryAnne Oduntan - Community Worker,,Y,N,N,N,Y,N,N,10:00,04:00,Mondays Fridays 10-4 and otherwise as arranged,N,N,N,N,N,N,Unknown,53.5432288,-2.0877344,Y,01/09/2025,original,,
Bread and Butter Thing,Salford,Ordsall,"Ordsall Community CafÃ©, 172 Tatton Street",M5 3PS,,,hello@breadandbutterthing.org,https://breadandbutterthing.org/,Membership pantry,Free,Please make contact for further details,,,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,Unknown,53.4750166,-2.2724282,Y,01/09/2025,simplified_address,,
More4Less Food Club,Salford,Ordsall,"St. Clements Church, Groves Avenue, Ordsall",M5 3LQ,Monday 12-2pm; Friday 12-2pm; Saturday 09.30-11.30am,7849346460,more4lessstclements@mail.com,,Registration required,£3.00 per visit,3-4 items from freezers; 7 items from cupboards/tables; 5 items from free table; Home deliveries available; Cater for vegans,,,Y,N,N,N,Y,Y,N,12:00,14:00,Monday 12-2pm; Friday 12-2pm; Saturday 09.30-11.30am,N,N,Y,N,N,N,Unknown,53.4727032,-2.2763853,Y,01/09/2025,simplified_address,,
Family FoodFayre Food Club,Salford,Pendleton,"St Thomas Church, Pendleton, Ford Lane",M6 6PE,Mondays 11am-2pm (Last entry 1:45pm); Thursdays 12pm-3pm (Last entry 2:45pm),(0161) 736 7959,barry@manchestercitymission.org.uk,https://citymission.org.uk/,No referral required,£5.00 membership and £4 per visit,Community cafe/Hub,,Visit from the Stork baby items at reduced prices,Y,N,N,Y,N,N,N,11:00,14:00,Mondays 11am-2pm (Last entry 1:45pm); Thursdays 12pm-3pm (Last entry 2:45pm),N,Y,N,N,N,N,Both,53.4921535,-2.2857115,Y,01/09/2025,original,,
The Olive Branch Hub,Salford,Salford,"St James' church hall (round the back), Eccles Old Road",M6 8EJ,Wednesday's 12-3,,,https://Facebook.com/TheOliveBranchHub,Referral required,Free,Foodbank and free warm cooked meal dessert tea/coffee/drinks,,,N,N,Y,N,N,N,N,12:00,03:00,Wednesday's 12-3,Y,N,N,N,N,N,Unknown,53.5126416,-2.2455864,Y,01/09/2025,simplified_address,,
Salford Foodbank,Salford,Salford,"St Philips Church, Wilton Place, off Chapel Street",M3 6FT,Tue 13:00 - 15:00,0161 637 2120,info@salford.foodbank.org.uk,https://salford.foodbank.org.uk/locations/,Voucher required from foodbank partner,Free,Foodbank,,,N,Y,N,N,N,N,N,13:00,15:00,Tue 13:00 - 15:00,Y,N,N,N,N,N,Referral,53.4840771,-2.2635226,Y,01/09/2025,simplified_address,,
Winners Chapel Int. Manchester,Salford,Salford,Pinnacle House 81-83 Broughton Ln,M8 9UE,11 A  1pm last Saturday of the month,7833993043,manchester. csr@winners-chapel.org.uk,https://winnerschapelmanchester.org.uk,Registration required,Free,Food distribution,,,Y,N,N,N,N,Y,N,11:00,13:00,11 A  1pm last Saturday of the month,N,N,N,N,N,N,Unknown,53.4951099,-2.25416,Y,01/09/2025,postcode,,
The Angel Centre,Salford,Salford,1 St Philips Place,M3 6FA,Thursday 10.00 -1.00pm; Welcome hub Mon-Thurs 10am-2pm,0161 710 1075,,https://www.theangelcentre.org.uk/angel-centre/Salford,Membership registration required,£4 per person for goods worth £20; lunch available for 50p from 12pm,Food service; Welcome hub with lunch,,First come first served for lunch,Y,N,N,Y,N,N,N,00:00,01:00,Thursday 10.00 -1.00pm; Welcome hub Mon-Thurs 10am-2pm,N,Y,N,N,N,N,Walk-in,50.7775237,0.290969,Y,01/09/2025,original,,
Salford Angel FoodCycle,Salford,Salford,"The Angel Centre, 1 St Phillip's Place",M3 6FA,Wednesday's 6.30pm,,salfordangel@foodcycle.org.uk,https://foodcycle.org.uk/location/foodcycle-salford-angel-centre,Registration required,Free,Hot meals only,,Family Friendly,N,N,Y,N,N,N,N,,,Wednesday's 6.30pm,N,Y,N,N,N,N,Unknown,53.4834639,-2.2632139,Y,01/09/2025,simplified_address,,
AUDACIOUS A-TEAMS,Salford,Salford,"Audacious Church, Deva City office park, Trinity way",M3 7BB,Tuesday 5-7pm (clothing); Thursday 10am-12 Breakfast (Barber),0161 830 7002,julianwolstencroft@audaciouschurch.com,https://audaciouschurch.com/,Registration required,Free,Hot 3 course meal; Breakfast; Food parcels available by email,,For those experiencing Homelessness and street homeless,N,Y,N,Y,N,N,N,05:00,19:00,Tuesday 5-7pm (clothing); Thursday 10am-12 Breakfast (Barber),Y,Y,N,N,N,N,Unknown,53.4854916,-2.2539982,Y,01/09/2025,original,,
Family food fayre,Salford,Salford,"Spruce Court, Belvedere Rd",M6 5EW,Wednesday 11am - 1pm,07860 952 582,lynne. harrison@togetherhousing.co.uk,,Salford resident; Free membership for Pendleton Together or Salix Homes tenants,£5 annual membership; £4 per visit,Choose around 12 items of food or toiletries,Lynne Harrison,,N,N,Y,N,N,N,N,11:00,13:00,Wednesday 11am - 1pm,N,N,N,N,N,N,Unknown,53.486559,-2.2791753,Y,01/09/2025,original,,
Emmaus Salford 'Lucie's Pantry',Salford,Salford,"Emmaus House, 101 Fitzwarren Street",M6 5RQ,Mon A  Fri 9am A  3.30pm; Saturday 10am A  3pm,0161 7378 279,luciespantry. salford@emmaus.org.uk,https://www.emmaus.org.uk/salford/luciespantry,No referral required,One-time registration fee plus £3 per weekly shop (10 items),Social Supermarket; Free delivery for isolation/ill health; Free school uniform hub,,,Y,Y,Y,Y,Y,Y,N,09:00,03:00,Mon A  Fri 9am A  3.30pm; Saturday 10am A  3pm,N,N,Y,Y,N,N,Both,53.4871405,-2.290139,Y,01/09/2025,simplified_address,,
Salford Food Parcels,Salford,Salford,rear car park Emmanuel Church 174 Langworthy Rd,M6 5PN,Wednesday 10am A  11.30am,7815089568,salfordfoodparcels@gmail.com,https://salfordfoodparcels.org,Registration required,Free,Right to Eat,Yvonne Simms,,N,N,Y,N,N,N,N,10:00,11:00,Wednesday 10am A  11.30am,N,N,N,N,N,N,Unknown,53.4868484,-2.2948254,Y,01/09/2025,simplified_address,,
Feed the 5000 Food Bank,Manchester,Cheetham Hill,"Faithlife Centre, 5 Mary Street, Cheetham Hill",M3 1NH,Thursdays 4 A  6pm,7874048246,admin@faithlifecentre.com,https://www.faithlifecentre.com,No referral required,Free,Food Bank,,,N,N,N,Y,N,N,N,04:00,18:00,Thursdays 4 A  6pm,Y,N,N,N,N,N,Both,53.4894393,-2.2487986,Y,01/09/2025,postcode,,
Oasis Hub MediaCityUK Community Food Store,Salford,Salford Quays,"Oasis Hub MediaCityUK, Trafford Road",M50 3UQ,Wednesday 10:30am A  2pm,07557 076649,hannah. miller@oasismediacityuk.org,https://www.oasishubmediacityuk.org/food-store,Annual membership,£5 annual membership (includes first shop); £3.50 per visit for 10-12 items,Community Food Store; Free fruit veg and shorter dated items; Community cafÃ©,Hannah Miller,,N,N,Y,N,N,N,N,10:30,14:00,Wednesday 10:30am A  2pm,N,N,N,N,N,N,Unknown,53.4754115,-2.2829953,Y,01/09/2025,simplified_address,,
Swinton Foodbank,Salford,Swinton,"Swinton Gateway, 100 Chorley Road",M27 6BP,Mon A  Friday 10:00 - 6:00pm,0161 637 2120,info@salford.foodbank.org.uk,https://salford.foodbank.org.uk/locations/,Voucher required from foodbank partner,Free,Foodbank,,,Y,Y,Y,Y,Y,N,N,10:00,18:00,Mon A  Friday 10:00 - 6:00pm,Y,N,N,N,N,N,Referral,53.5123193,-2.3421625,Y,01/09/2025,original,,
Bread and Butter Thing,Salford,Swinton,"St Peters Church, Chorley Road, Swinton",M27 0WA,,,hello@breadandbutterthing.org,https://breadandbutterthing.org/,Membership pantry,Free,Please make contact for further details,,,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,Unknown,53.5132481,-2.341609,Y,01/09/2025,simplified_address,,
Walkden Gateway,Salford,Walkden,"2 Smith Street, Walkden",M28 3EZ,Mon A  Friday 10:00 A  6:00pm,0161 637 2120,info@salford.foodbank.org.uk,https://salford.foodbank.org.uk/locations/,Voucher required from foodbank partner,Free,Foodbank,,,Y,Y,Y,Y,Y,N,N,10:00,18:00,Mon A  Friday 10:00 A  6:00pm,Y,N,N,N,N,N,Referral,53.5249139,-2.3985386,Y,01/09/2025,original,,
Salford Action Food club,Salford,Walkden,"40 Chilham Rd, Walkden",M28 3DP,Thursdays 6 A  7.30pm,0161 526 6322 0800 800 6905,help@salfordsia.co.uk,https://www.salfordsia.co.uk/,Registration required,£2.50 for minimum 12 items,Food club; Plus free toiletries nappies and sanitary items,,,N,N,N,Y,N,N,N,06:00,07:00,Thursdays 6 A  7.30pm,N,N,N,N,N,N,Unknown,53.5214242,-2.3925954,Y,01/09/2025,original,,
The Chatterbox Project & Joy Community Church,Manchester,Blackley,"70A Booth Hall Road, Charlestown, Blackley",M9 7BL,Mondays 12 - 12:30pm Term times Only,0161 795 6162,,http://www.chatterboxproject.com/,Registration required,£1.00 for one bag with fresh fruit and veg,Food project,,,Y,N,N,N,N,N,N,12:00,12:30,Mondays 12 - 12:30pm Term times Only,N,N,N,N,N,N,Unknown,53.5152022,-2.2437055,Y,01/09/2025,simplified_address,,
Christian Restoration Manchester,Manchester,Blackley,"451 Victoria Avenue, Blackley, Manchester",M9 8PJ,Monday & Wednesday 11 to 1pm,0161-740-9966 07936004774,info@crm-manchester.org,http://www.crm-manchester.org,Referrals from MCC only,Free,Food bank,,,Y,N,Y,N,N,N,N,,,Monday & Wednesday 11 to 1pm,Y,N,N,N,N,N,Referral,53.5342465,-2.2354198,Y,01/09/2025,original,,
Bread and Butter Thing,Manchester,Higher Blackley,"St Pauls church, Victoria Avenue, Higher Blackley",M9 6RA,,,hello@breadandbutterthing.org,https://breadandbutterthing.org/,Membership pantry,Free,Please make contact for further details,,,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,Unknown,53.5337287,-2.2148832,Y,01/09/2025,simplified_address,,
Higher Blackley's Community Fridge,Manchester,Higher Blackley,"Co-op Academy Manchester, Plant Hill Road",M9 0WQ,Mondays during term-time 3:15pm - 4pm,0161 795 3005,manc-community-m@coopacademies.co.uk,https://manchester.coopacademies.co.uk/fridge,Registration required,Free,Community Fridge,The Community Team,,Y,N,N,N,N,N,N,15:15,16:00,Mondays during term-time 3:15pm - 4pm,N,N,N,N,N,N,Unknown,53.5298011,-2.2223381,Y,01/09/2025,original,,
The Welcome Centre,Manchester,Cheetham Hill,"18 - 32 Brentfield Avenue, Cheetham Hill",M8 0TW,Monday to Thursday from 10.00 to 15.00,0161 513 4126,welcome. centre@waiyin.org.uk,https://www.waiyin.org.uk/centres/welcome-centre/,Referrals via phone/email/letter,Free,Emergency dry storage food parcel service; Costco fresh donations Thursdays 13:00-14:00,,,Y,N,N,Y,N,N,N,,,Monday to Thursday from 10.00 to 15.00,N,N,N,N,N,N,Referral,53.503932,-2.2414908,Y,01/09/2025,original,,
Khizra foodbank,Manchester,Cheetham Hill,425 Cheetham Hill Road,M8 0PF,Opening times by appointment only,0161 205 6662,info@khizramosque.org,,Emergency food bank by referral or advance notice,Free,Emergency food bank,,,N,N,N,N,N,N,N,,,Opening times by appointment only,Y,N,N,N,N,N,Referral,53.5062004,-2.2381362,Y,01/09/2025,original,,
Caritas Community Pantry,Manchester,Collyhurst,"The Caritas Lalley Centre, Eggington Street, Collyhurst",M40 7RG,Wednesday 11-1pm; Friday 11-1pm,0161 205 2754,lalleycentre@caritassalford.org.uk,https://www.caritassalford.org.uk/lalley,Registration required,£5 per visit with meat items for £1,Fresh and frozen food; organic vegetables from community allotment; long-life items,,Please come from 10:30am to register for tea toast and chat,N,N,Y,N,Y,N,N,11:00,13:00,Wednesday 11-1pm; Friday 11-1pm,N,N,N,N,N,N,Unknown,53.4977836,-2.2230582,Y,01/09/2025,postcode,,
Bread and Butter Thing,Manchester,Collyhurst,"Church of the Saviour, Eggington Street",M40 7RN,,,hello@breadandbutterthing.org,https://breadandbutterthing.org/,Membership pantry,Free,Please contact for further details,,,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,Unknown,53.4980553,-2.2224592,Y,01/09/2025,simplified_address,,
Rainbow Surprise,Manchester,Crumpsall,"Crumpsall Community Hall, Cleveland Road",M8 4GS,Monday Tuesday Thursday Friday 11am-3pm Closed Wednesdays,07515 110208,hello@rainbowsurprise.com,https://www.rainbowsurprise.com,Evidence required; professional referral preferred,Free,Food support,Shakar,Closed from Wednesday 17th Sept till Friday 10th Oct,Y,Y,Y,Y,Y,N,N,11:00,15:00,Monday Tuesday Thursday Friday 11am-3pm Closed Wednesdays,N,N,N,N,N,N,Referral,53.520622,-2.2318685,Y,01/09/2025,simplified_address,,
Christ the Vine Manchester Church,Manchester,Harpurhey,"Park View, Rochdale Road",M9 5TF,Weds 11 A  1.30pm,07903 833949,,https://www.christthevineinternational.com/the-vine-sanctuary.html,Registration required,Free,Food support,,,N,N,Y,N,N,N,N,11:00,01:00,Weds 11 A  1.30pm,N,N,N,N,N,N,Unknown,53.503116,-2.2184484,Y,01/09/2025,original,,
Nurturing Foundations,Manchester,Harpurhey,"Harpurhey Neighbourhood Project, Carisbrook Street, Harpurhey",M9 5UX,Thursday 5pm - 7pm (Fortnightly),07792107226 07584493575,,https://www.nurturingfoundations.org.uk,Referral required,£1 foodbank,Food bank,,,N,N,N,Y,N,N,N,17:00,19:00,Thursday 5pm - 7pm (Fortnightly),Y,N,N,N,N,N,Unknown,53.5073638,-2.2111192,Y,01/09/2025,simplified_address,,
Harpurhey Neighbourhood Project,Manchester,Harpurhey,Carisbrook St,M9 5PR,Thurs 10:30 - 12:30,7928412339,info@manchestercentral.foodbank.org.uk,https://manchestercentral.foodbank.org.uk/locations/,Voucher required from foodbank partner,Free,Foodbank,,,N,N,N,Y,N,N,N,10:30,12:30,Thurs 10:30 - 12:30,Y,N,N,N,N,N,Referral,53.5073638,-2.2111192,Y,01/09/2025,original,,
